Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter
Canadian Imperial Bank of Commerce,12303,Canada,"Canadian Bank, Diversified Financial Services Company",2021,1
Agricultural Bank of China,11002,China,Asian Bank,2021,1
Agricultural Bank of China Guizhou,111071,China,Asian Bank,2021,1
Agricultural Bank of China Nanjing,119623,China,Asian Bank,2021,1
Bank of China Guizhou,117075,China,Asian Bank,2021,1
Bank of China Jiangsu Branch,11778,China,Asian Bank,2021,1
Bank of China Shanghai Branch,11780,China,Asian Bank,2021,1
China Merchants Bank Co Ltd,11784,China,Asian Bank,2021,1
Shanghai Pudong Development Bank,13254,China,Asian Bank,2021,1
Shanghai Pudong Development Bank Nanjing,20484,China,Asian Bank,2021,1
Otera Capital Inc,133284,Canada,"Canadian Bank, Diversified Financial Services Company",2021,1
Northern Australian Infrastructure Facility,141558,Australia,Government Sponsored Lender,2021,1
Standard Chartered Bank Plc [SCB],14558,United Kingdom,"European Bank, Middle Eastern Bank",2021,1
China Minsheng Banking Corp,14711,China,Asian Bank,2021,1
Bank of Communications Shanghai,40246,China,Asian Bank,2021,1
Bank of Ningbo,19270,China,Asian Bank,2021,1
Dubai Islamic Bank PSJ,23629,United Arab Emirates,"European Bank, Middle Eastern Bank",2021,1
Postal Savings Bank of China,24216,China,Asian Bank,2021,1
Banco da Amazonia SA,27037,Brazil,Foreign Bank,2021,1
Commercial Bank of Dubai PSC,29077,United Arab Emirates,"European Bank, Middle Eastern Bank",2021,1
HSBC Shanghai,39245,China,Asian Bank,2021,1
China Development Bank Guizhou,106468,China,Asian Bank,2021,1
Mashreqbank psc,9248,United Arab Emirates,"European Bank, Middle Eastern Bank",2021,1
Export-Import Bank of China [China Eximbank],9558,China,Asian Bank,2021,1
Emirates NBD Capital Ltd,119644,United Arab Emirates,"European Bank, Middle Eastern Bank",2021,1
Australia & New Zealand Banking Group Ltd [ANZ],10476,Australia,"Australian/New Zealand Bank, Canadian Bank",2021,1
DZ Bank AG,10543,Germany,"Australian/New Zealand Bank, European Bank",2021,1
